material,formula,type,chi_value_cgs,provenance
Landolt_Dia_Comp_2730,LD2730,molar,-54.06225422602414,measured
Landolt_Dia_Comp_4526,LD4526,molar,-89.04402360478608,measured
Landolt_Para_Comp_5936,LP5936,molar,184.91091563588805,measured
Landolt_Dia_Comp_794,LD794,molar,-46.57046106117167,measured
Landolt_Para_Comp_3475,LP3475,molar,93.98452911666283,measured
Landolt_Para_Comp_247,LP247,molar,47.4133694576474,measured
Landolt_Para_Comp_5398,LP5398,molar,469.76208243872213,measured
Landolt_Para_Comp_584,LP584,molar,83.69286513663764,measured
Landolt_Dia_Comp_877,LD877,molar,-63.82079184964289,measured
Landolt_Para_Comp_861,LP861,molar,323.939136445021,measured
Landolt_Para_Comp_1032,LP1032,molar,310.94652462134195,measured
Landolt_Dia_Comp_1524,LD1524,molar,-60.70756909522153,measured
Landolt_Para_Comp_4050,LP4050,molar,192.7885950494524,measured
Landolt_Dia_Comp_1367,LD1367,molar,-32.889780965235154,measured
Landolt_Para_Comp_2947,LP2947,molar,50.18847631642539,measured
Landolt_Dia_Comp_4781,LD4781,molar,-48.693223744605746,measured
Landolt_Dia_Comp_1598,LD1598,molar,-23.12969076034168,measured
Landolt_Para_Comp_2112,LP2112,molar,67.7330151840024,measured
Landolt_Dia_Comp_59,LD59,molar,-32.32836524586822,measured
Landolt_Para_Comp_2808,LP2808,molar,156.23067703958847,measured
Landolt_Dia_Comp_5368,LD5368,molar,-37.220593866538806,measured
Landolt_Dia_Comp_4742,LD4742,molar,-54.61387040416042,measured
Landolt_Dia_Comp_4080,LD4080,molar,-67.3258327138677,measured
Landolt_Dia_Comp_4787,LD4787,molar,-24.171311806834556,measured
Landolt_Para_Comp_5227,LP5227,molar,116.88706378170407,measured
Landolt_Dia_Comp_3832,LD3832,molar,-49.41099436898885,measured
Landolt_Dia_Comp_1353,LD1353,molar,-28.24516577987168,measured
Landolt_Dia_Comp_1151,LD1151,molar,-5.661386659121028,measured
Landolt_Dia_Comp_3637,LD3637,molar,-50.5469536327674,measured
Landolt_Dia_Comp_1953,LD1953,molar,-33.13006629531749,measured
Landolt_Dia_Comp_213,LD213,molar,-65.82499549592275,measured
Landolt_Para_Comp_1186,LP1186,molar,339.73909704136963,measured
Landolt_Para_Comp_2094,LP2094,molar,288.323241449526,measured
Landolt_Dia_Comp_281,LD281,molar,-22.397615106648523,measured
Landolt_Dia_Comp_4088,LD4088,molar,-41.20182345842665,measured
Landolt_Dia_Comp_3576,LD3576,molar,-70.17122907520235,measured
Landolt_Dia_Comp_45,LD45,molar,-25.43073835482382,measured
Landolt_Dia_Comp_431,LD431,molar,-53.398329597610235,measured
Landolt_Dia_Comp_335,LD335,molar,-45.388827204687026,measured
Landolt_Dia_Comp_5823,LD5823,molar,-40.76565741691033,measured
Landolt_Dia_Comp_5065,LD5065,molar,-60.837327563506726,measured
Landolt_Para_Comp_1168,LP1168,molar,29.5139105592825,measured
Landolt_Dia_Comp_3926,LD3926,molar,-67.55641869659024,measured
Landolt_Dia_Comp_4620,LD4620,molar,-42.32868954491171,measured
Landolt_Para_Comp_5825,LP5825,molar,635.5844813573281,measured
Landolt_Para_Comp_2307,LP2307,molar,21.51358299069959,measured
Landolt_Dia_Comp_601,LD601,molar,-75.91862133327837,measured
Landolt_Para_Comp_2190,LP2190,molar,19.320516942920328,measured
Landolt_Dia_Comp_4728,LD4728,molar,-1.0,measured
Landolt_Para_Comp_3461,LP3461,molar,66.6902304794549,measured
Landolt_Dia_Comp_1540,LD1540,molar,-36.5963562564794,measured
Landolt_Dia_Comp_3859,LD3859,molar,-68.42794661470744,measured
Landolt_Dia_Comp_3389,LD3389,molar,-38.17630176166244,measured
Landolt_Para_Comp_5474,LP5474,molar,79.32115710207346,measured
Landolt_Dia_Comp_2687,LD2687,molar,-29.497504800959973,measured
Landolt_Para_Comp_123,LP123,molar,224.56922515707657,measured
Landolt_Dia_Comp_3592,LD3592,molar,-90.07499907625596,measured
Landolt_Dia_Comp_3630,LD3630,molar,-48.47704013778108,measured
Landolt_Dia_Comp_256,LD256,molar,-25.65849756551428,measured
Landolt_Para_Comp_3694,LP3694,molar,36.91160273819712,measured
Landolt_Para_Comp_5142,LP5142,molar,13.110365047486704,measured
Landolt_Dia_Comp_552,LD552,molar,-64.83488660020483,measured
Landolt_Para_Comp_4057,LP4057,molar,76.19588760190227,measured
Landolt_Para_Comp_3601,LP3601,molar,583.1215326524718,measured
Landolt_Dia_Comp_3223,LD3223,molar,-76.44417957889964,measured
Landolt_Para_Comp_1395,LP1395,molar,159.22641642797106,measured
Landolt_Para_Comp_4703,LP4703,molar,231.29340004152493,measured
Landolt_Dia_Comp_5114,LD5114,molar,-16.018163251800267,measured
Landolt_Dia_Comp_5754,LD5754,molar,-55.46093910681777,measured
Landolt_Dia_Comp_331,LD331,molar,-32.262234852375826,measured
Landolt_Para_Comp_1413,LP1413,molar,116.18624849284848,measured
Landolt_Para_Comp_3922,LP3922,molar,49.98654691895648,measured
Landolt_Dia_Comp_5666,LD5666,molar,-88.62720696801244,measured
Landolt_Para_Comp_2876,LP2876,molar,128.1036464963775,measured
Landolt_Para_Comp_854,LP854,molar,140.7519941269127,measured
Landolt_Para_Comp_3629,LP3629,molar,136.52220528254765,measured
Landolt_Para_Comp_2676,LP2676,molar,17.830502913085464,measured
Landolt_Para_Comp_1390,LP1390,molar,160.71874848566011,measured
Landolt_Dia_Comp_2853,LD2853,molar,-36.19854299847901,measured
Landolt_Para_Comp_4732,LP4732,molar,18.583472671370586,measured
Landolt_Dia_Comp_5979,LD5979,molar,-51.9076118916669,measured
Landolt_Dia_Comp_4048,LD4048,molar,-57.074908575694025,measured
Landolt_Para_Comp_1383,LP1383,molar,192.73882794517755,measured
Landolt_Dia_Comp_3050,LD3050,molar,-55.732631094498984,measured
Landolt_Dia_Comp_2474,LD2474,molar,-51.5421952886946,measured
Landolt_Dia_Comp_516,LD516,molar,-31.967458399941677,measured
Landolt_Dia_Comp_718,LD718,molar,-76.94967102696828,measured
Landolt_Dia_Comp_2389,LD2389,molar,-50.332979071452456,measured
Landolt_Dia_Comp_1379,LD1379,molar,-77.75416121875394,measured
Landolt_Para_Comp_4262,LP4262,molar,168.49440407843753,measured
Landolt_Dia_Comp_2336,LD2336,molar,-53.222733045295854,measured
Landolt_Dia_Comp_3963,LD3963,molar,-53.84232332087522,measured
Landolt_Para_Comp_3705,LP3705,molar,128.3154261085324,measured
Landolt_Dia_Comp_2890,LD2890,molar,-82.12991282865929,measured
Landolt_Para_Comp_5017,LP5017,molar,115.01709582939245,measured
Landolt_Dia_Comp_111,LD111,molar,-64.1180374292382,measured
Landolt_Para_Comp_3746,LP3746,molar,11.306281189484777,measured
Landolt_Dia_Comp_3203,LD3203,molar,-30.317269536239206,measured
Landolt_Dia_Comp_391,LD391,molar,-56.32556458226268,measured
Landolt_Dia_Comp_5253,LD5253,molar,-75.17514669930934,measured
Landolt_Para_Comp_5652,LP5652,molar,25.357328415597472,measured
Landolt_Para_Comp_2599,LP2599,molar,67.33058582029726,measured
Landolt_Dia_Comp_5206,LD5206,molar,-49.61503217686483,measured
Landolt_Dia_Comp_1428,LD1428,molar,-51.90122570820591,measured
Landolt_Para_Comp_2165,LP2165,molar,94.13798234336929,measured
Landolt_Para_Comp_5830,LP5830,molar,513.7339470944316,measured
Landolt_Para_Comp_3569,LP3569,molar,320.28867301462674,measured
Landolt_Dia_Comp_5415,LD5415,molar,-95.41707173609383,measured
Landolt_Para_Comp_3828,LP3828,molar,184.62333599045974,measured
Landolt_Dia_Comp_5059,LD5059,molar,-38.60972327441321,measured
Landolt_Para_Comp_2819,LP2819,molar,80.74964410394902,measured
Landolt_Dia_Comp_2012,LD2012,molar,-46.078703392099705,measured
Landolt_Dia_Comp_4851,LD4851,molar,-67.29436558367374,measured
Landolt_Dia_Comp_304,LD304,molar,-79.99308788714806,measured
Landolt_Dia_Comp_1306,LD1306,molar,-41.205547186259665,measured
Landolt_Dia_Comp_4415,LD4415,molar,-47.68812196784166,measured
Landolt_Dia_Comp_2062,LD2062,molar,-73.60608296399086,measured
Landolt_Dia_Comp_4689,LD4689,molar,-36.88147335581429,measured
Landolt_Para_Comp_1765,LP1765,molar,206.5702766223288,measured
Landolt_Dia_Comp_732,LD732,molar,-61.152096621147564,measured
Landolt_Para_Comp_3200,LP3200,molar,91.8644525358175,measured
Landolt_Dia_Comp_2214,LD2214,molar,-71.55858767925741,measured
Landolt_Dia_Comp_4565,LD4565,molar,-53.739827602545304,measured
Landolt_Para_Comp_3976,LP3976,molar,14.416447625779739,measured
Landolt_Dia_Comp_5573,LD5573,molar,-35.199539120782404,measured
Landolt_Dia_Comp_4214,LD4214,molar,-62.3041612140628,measured
Landolt_Para_Comp_3374,LP3374,molar,387.08711768871257,measured
Landolt_Para_Comp_3594,LP3594,molar,137.6095035570546,measured
Landolt_Para_Comp_1239,LP1239,molar,52.098808903839846,measured
Landolt_Para_Comp_4599,LP4599,molar,81.11434861518677,measured
Landolt_Dia_Comp_2927,LD2927,molar,-41.79363978361701,measured
Landolt_Dia_Comp_377,LD377,molar,-26.913611648987153,measured
Landolt_Dia_Comp_5289,LD5289,molar,-60.61942907679506,measured
Landolt_Dia_Comp_5284,LD5284,molar,-59.18004800276674,measured
Landolt_Dia_Comp_571,LD571,molar,-65.32026870755365,measured
Landolt_Dia_Comp_701,LD701,molar,-44.37613423345179,measured
Landolt_Para_Comp_1505,LP1505,molar,52.489100856695394,measured
Landolt_Para_Comp_1950,LP1950,molar,41.4867533368685,measured
Landolt_Dia_Comp_2226,LD2226,molar,-50.419182449230405,measured
Landolt_Para_Comp_1926,LP1926,molar,225.15828840989343,measured
Landolt_Para_Comp_3328,LP3328,molar,179.50230037632232,measured
Landolt_Dia_Comp_3024,LD3024,molar,-35.70471887358382,measured
Landolt_Para_Comp_3805,LP3805,molar,368.3485997683419,measured
Landolt_Para_Comp_4967,LP4967,molar,12.672767563043696,measured
Landolt_Para_Comp_4333,LP4333,molar,362.0355004628266,measured
Landolt_Para_Comp_968,LP968,molar,154.14115177345747,measured
Landolt_Dia_Comp_3165,LD3165,molar,-86.28860013330458,measured
Landolt_Para_Comp_4762,LP4762,molar,74.58208411309504,measured
Landolt_Para_Comp_5469,LP5469,molar,220.76823531396002,measured
Landolt_Para_Comp_5614,LP5614,molar,186.75006547379783,measured
Landolt_Para_Comp_4184,LP4184,molar,21.252477473384083,measured
Landolt_Dia_Comp_3300,LD3300,molar,-25.079786634938515,measured
Landolt_Para_Comp_3685,LP3685,molar,601.5844553796006,measured
Landolt_Para_Comp_4669,LP4669,molar,44.49672483020345,measured
Landolt_Dia_Comp_521,LD521,molar,-37.68977973403967,measured
Landolt_Para_Comp_5942,LP5942,molar,53.29393575369426,measured
Landolt_Para_Comp_4203,LP4203,molar,352.39676426399615,measured
Landolt_Para_Comp_224,LP224,molar,796.4195880632777,measured
Landolt_Para_Comp_5995,LP5995,molar,20.05844453352988,measured
Landolt_Para_Comp_4439,LP4439,molar,126.2304190423257,measured
Landolt_Para_Comp_2628,LP2628,molar,17.797412983541246,measured
Landolt_Para_Comp_1915,LP1915,molar,256.4324907794538,measured
Landolt_Dia_Comp_2435,LD2435,molar,-53.3804732444824,measured
Landolt_Para_Comp_1145,LP1145,molar,321.53114941772463,measured
Landolt_Dia_Comp_3876,LD3876,molar,-43.21091674066072,measured
Landolt_Dia_Comp_3386,LD3386,molar,-51.467076963449244,measured
Landolt_Para_Comp_2175,LP2175,molar,178.64892719237463,measured
Landolt_Dia_Comp_3162,LD3162,molar,-40.46598437967649,measured
Landolt_Dia_Comp_1903,LD1903,molar,-17.48708218412184,measured
Landolt_Dia_Comp_1516,LD1516,molar,-56.22264999829985,measured
Landolt_Dia_Comp_5577,LD5577,molar,-22.983139133563853,measured
Landolt_Para_Comp_4084,LP4084,molar,103.0110968867691,measured
Landolt_Para_Comp_3979,LP3979,molar,107.64931569907752,measured
Landolt_Dia_Comp_3633,LD3633,molar,-57.646781472830476,measured
Landolt_Para_Comp_1554,LP1554,molar,172.95712186850034,measured
Landolt_Dia_Comp_5366,LD5366,molar,-15.796658147568216,measured
Landolt_Para_Comp_1906,LP1906,molar,10.500872877396699,measured
Landolt_Dia_Comp_417,LD417,molar,-30.029678731705655,measured
Landolt_Dia_Comp_3802,LD3802,molar,-41.86330316837518,measured
Landolt_Dia_Comp_41,LD41,molar,-52.06405246460536,measured
Landolt_Para_Comp_4866,LP4866,molar,19.553473985809447,measured
Landolt_Dia_Comp_2671,LD2671,molar,-56.75415393566785,measured
Landolt_Dia_Comp_819,LD819,molar,-63.37074629056393,measured
Landolt_Dia_Comp_3468,LD3468,molar,-54.12195980861805,measured
Landolt_Para_Comp_3403,LP3403,molar,135.77582446276745,measured
Landolt_Para_Comp_769,LP769,molar,183.63675993404743,measured
Landolt_Para_Comp_1817,LP1817,molar,95.38183438536191,measured
Landolt_Dia_Comp_1788,LD1788,molar,-25.727438528264056,measured
Landolt_Para_Comp_4379,LP4379,molar,90.60255415416005,measured
Landolt_Dia_Comp_2438,LD2438,molar,-68.18242789289008,measured
Landolt_Para_Comp_1427,LP1427,molar,31.892548679258578,measured
Landolt_Para_Comp_1232,LP1232,molar,41.54236335695198,measured
Landolt_Dia_Comp_4612,LD4612,molar,-44.07630629906496,measured
Landolt_Para_Comp_5327,LP5327,molar,100.82250276232487,measured
Landolt_Dia_Comp_4224,LD4224,molar,-52.285398224323366,measured
Landolt_Dia_Comp_5760,LD5760,molar,-72.67268590613322,measured
Landolt_Dia_Comp_4172,LD4172,molar,-33.0925735876925,measured
Landolt_Dia_Comp_2161,LD2161,molar,-63.656370317923304,measured
Landolt_Para_Comp_233,LP233,molar,111.92028370970357,measured
Landolt_Dia_Comp_1699,LD1699,molar,-37.397461877150526,measured
Landolt_Para_Comp_5645,LP5645,molar,381.1147066136516,measured
Landolt_Para_Comp_5137,LP5137,molar,16.904566790485408,measured
Landolt_Para_Comp_750,LP750,molar,11.769871429411193,measured
Landolt_Dia_Comp_1864,LD1864,molar,-50.15957130680575,measured
Landolt_Para_Comp_3706,LP3706,molar,69.99189888951236,measured
Landolt_Para_Comp_1852,LP1852,molar,24.06627752220391,measured
Landolt_Dia_Comp_248,LD248,molar,-31.608082120919423,measured
Landolt_Dia_Comp_4511,LD4511,molar,-25.458474036765555,measured
Landolt_Para_Comp_4714,LP4714,molar,88.99082779104786,measured
Landolt_Dia_Comp_5067,LD5067,molar,-82.10721953663257,measured
Landolt_Dia_Comp_261,LD261,molar,-34.633172904791095,measured
Landolt_Dia_Comp_2382,LD2382,molar,-48.81320590374711,measured
Landolt_Para_Comp_5070,LP5070,molar,291.3295364239162,measured
Landolt_Para_Comp_964,LP964,molar,44.033122387878656,measured
Landolt_Dia_Comp_5252,LD5252,molar,-65.0446722113945,measured
Landolt_Para_Comp_2649,LP2649,molar,30.455126740168037,measured
Landolt_Dia_Comp_1,LD1,molar,-66.85453289232771,measured
Landolt_Para_Comp_481,LP481,molar,34.635612018720124,measured
Landolt_Dia_Comp_1723,LD1723,molar,-32.23697597909245,measured
Landolt_Dia_Comp_5516,LD5516,molar,-49.56409595461928,measured
Landolt_Dia_Comp_69,LD69,molar,-68.35474010397289,measured
Landolt_Dia_Comp_922,LD922,molar,-87.73986143287175,measured
Landolt_Dia_Comp_2069,LD2069,molar,-77.27896965154082,measured
Landolt_Para_Comp_602,LP602,molar,194.01397135836703,measured
Landolt_Dia_Comp_1601,LD1601,molar,-42.23887571693635,measured
Landolt_Para_Comp_5103,LP5103,molar,22.670200522740625,measured
Landolt_Para_Comp_4055,LP4055,molar,529.9707693683063,measured
Landolt_Dia_Comp_4791,LD4791,molar,-35.84206679039761,measured
Landolt_Dia_Comp_2907,LD2907,molar,-76.39751592067753,measured
Landolt_Dia_Comp_3992,LD3992,molar,-32.74053243865457,measured
Landolt_Para_Comp_1049,LP1049,molar,100.30818086886778,measured
Landolt_Dia_Comp_4414,LD4414,molar,-69.17135394964541,measured
Landolt_Para_Comp_3284,LP3284,molar,122.22144842214273,measured
Landolt_Dia_Comp_2518,LD2518,molar,-89.22079881907007,measured
Landolt_Dia_Comp_5309,LD5309,molar,-28.342903145502607,measured
Landolt_Para_Comp_3089,LP3089,molar,81.85322484285669,measured
Landolt_Para_Comp_1525,LP1525,molar,119.89329426458067,measured
Landolt_Dia_Comp_889,LD889,molar,-61.37114071113095,measured
Landolt_Para_Comp_1226,LP1226,molar,89.02089756139165,measured
Landolt_Dia_Comp_2716,LD2716,molar,-42.89237214186077,measured
Landolt_Para_Comp_4961,LP4961,molar,26.57969844707855,measured
Landolt_Para_Comp_2910,LP2910,molar,45.33240117477207,measured
Landolt_Dia_Comp_290,LD290,molar,-62.51746591186922,measured
Landolt_Para_Comp_2346,LP2346,molar,48.01730938321322,measured
Landolt_Para_Comp_2440,LP2440,molar,374.0787858608784,measured
Landolt_Para_Comp_684,LP684,molar,72.85606077860828,measured
Landolt_Dia_Comp_3811,LD3811,molar,-33.11339409865852,measured
Landolt_Dia_Comp_4814,LD4814,molar,-51.69736060483234,measured
Landolt_Dia_Comp_374,LD374,molar,-43.92974111708072,measured
Landolt_Para_Comp_5116,LP5116,molar,169.28703013424925,measured
Landolt_Para_Comp_4745,LP4745,molar,127.02238200991412,measured
Landolt_Dia_Comp_254,LD254,molar,-42.32678160572904,measured
Landolt_Dia_Comp_1506,LD1506,molar,-52.60670165641204,measured
Landolt_Para_Comp_3593,LP3593,molar,125.13686216901138,measured
Landolt_Dia_Comp_5600,LD5600,molar,-71.4418745924823,measured
Landolt_Dia_Comp_2958,LD2958,molar,-80.45371717988877,measured
Landolt_Dia_Comp_134,LD134,molar,-50.075354508843326,measured
Landolt_Para_Comp_4864,LP4864,molar,318.9993825529691,measured
Landolt_Para_Comp_396,LP396,molar,34.989055013257584,measured
Landolt_Para_Comp_5666,LP5666,molar,121.4910750807204,measured
Landolt_Dia_Comp_2300,LD2300,molar,-39.04849542629181,measured
Landolt_Para_Comp_3735,LP3735,molar,54.04234531277048,measured
Landolt_Para_Comp_1024,LP1024,molar,63.20001179260934,measured
Landolt_Dia_Comp_5233,LD5233,molar,-58.8734641636375,measured
Landolt_Para_Comp_1146,LP1146,molar,151.24157526128005,measured
