material,formula,type,chi_value_cgs
Dia_Comp_428,D428,molar,-28.526816285193995
Para_Comp_844,P844,molar,140.99119580005157
Dia_Comp_721,D721,molar,-58.94122856122121
Dia_Comp_710,D710,molar,-52.432695570753665
Dia_Comp_290,D290,molar,-35.612972860067615
Para_Comp_95,P95,molar,86.6204591325965
Dia_Comp_863,D863,molar,-29.67386835614765
Dia_Comp_780,D780,molar,-55.186946912594614
Dia_Comp_765,D765,molar,-20.58045210541139
Para_Comp_811,P811,molar,74.01743982345413
Dia_Comp_168,D168,molar,-67.46013731157385
Dia_Comp_123,D123,molar,-24.718753258914848
Levitator_Proxy_36,L36,molar,-256.2790561749002
Para_Comp_993,P993,molar,48.10412530327615
Para_Comp_164,P164,molar,198.95919192257892
Dia_Comp_629,D629,molar,-41.11892501193086
Dia_Comp_1030,D1030,molar,-35.76931949316229
Para_Comp_1571,P1571,molar,114.30087190683757
Dia_Comp_624,D624,molar,-25.229081348622906
Para_Comp_1529,P1529,molar,66.65461587085497
Dia_Comp_911,D911,molar,-13.8527842610855
Levitator_Proxy_21,L21,molar,-205.182199305777
Dia_Comp_779,D779,molar,-25.806177741414796
Para_Comp_647,P647,molar,190.20810169068832
Para_Comp_1287,P1287,molar,205.54534950618537
Para_Comp_599,P599,molar,78.8986567824106
Dia_Comp_674,D674,molar,-38.383645971449184
Para_Comp_730,P730,molar,296.67627536001993
Para_Comp_152,P152,molar,73.32909565478919
Dia_Comp_901,D901,molar,-29.321532812089423
Para_Comp_114,P114,molar,39.82600880748754
Para_Comp_1147,P1147,molar,679.4791857883373
Para_Comp_61,P61,molar,127.27621720507732
Dia_Comp_544,D544,molar,-28.210682943541173
Para_Comp_1392,P1392,molar,450.6083367384235
Dia_Comp_1061,D1061,molar,-30.639433388560345
Dia_Comp_637,D637,molar,-67.17654274902338
Dia_Comp_1286,D1286,molar,-35.246118799794814
Para_Comp_260,P260,molar,163.0984762797056
Dia_Comp_1214,D1214,molar,-40.35638336841565
Dia_Comp_1049,D1049,molar,-30.848267489684375
Para_Comp_1025,P1025,molar,56.49580036822249
Dia_Comp_104,D104,molar,-33.811234739497145
Dia_Comp_707,D707,molar,-45.98967888157538
Dia_Comp_1271,D1271,molar,-46.66689384460943
Para_Comp_1345,P1345,molar,84.98045871879542
Dia_Comp_484,D484,molar,-53.82629834955205
Para_Comp_1070,P1070,molar,323.2679192617368
Para_Comp_1265,P1265,molar,165.09276847978037
Para_Comp_1041,P1041,molar,69.21325172567143
Para_Comp_355,P355,molar,95.65609773562129
Para_Comp_1030,P1030,molar,14.673324243615337
Dia_Comp_565,D565,molar,-26.343322518184742
Dia_Comp_462,D462,molar,-41.25953126087505
Dia_Comp_590,D590,molar,-30.390718260947246
Para_Comp_329,P329,molar,475.28764842858664
Para_Comp_1593,P1593,molar,220.10936888981016
Dia_Comp_301,D301,molar,-67.59165097412031
Dia_Comp_443,D443,molar,-32.68084861938118
Para_Comp_53,P53,molar,27.834076382855898
Dia_Comp_866,D866,molar,-28.734540400611067
Para_Comp_121,P121,molar,201.50019839727713
Dia_Comp_61,D61,molar,-58.60348385762332
Para_Comp_646,P646,molar,150.7165545967939
Dia_Comp_416,D416,molar,-34.71352673283388
Dia_Comp_354,D354,molar,-27.32954651891675
Para_Comp_68,P68,molar,48.8427280114167
Dia_Comp_513,D513,molar,-19.773818323358597
Para_Comp_1587,P1587,molar,45.090238257954375
Para_Comp_1443,P1443,molar,126.17449920961405
Dia_Comp_1350,D1350,molar,-24.004491506906565
Para_Comp_1091,P1091,molar,356.1895595606017
Para_Comp_1051,P1051,molar,179.33653357759454
Dia_Comp_850,D850,molar,-44.038403433587014
Dia_Comp_1272,D1272,molar,-43.762798031239264
Dia_Comp_268,D268,molar,-67.02075608020994
Dia_Comp_459,D459,molar,-38.918202616314744
Dia_Comp_1332,D1332,molar,-20.613229209691088
Dia_Comp_817,D817,molar,-32.733541180055
Para_Comp_196,P196,molar,106.53589262608955
Para_Comp_903,P903,molar,361.8352416575921
Para_Comp_881,P881,molar,99.38038636181578
Para_Comp_247,P247,molar,281.7412357757
Dia_Comp_341,D341,molar,-34.254480929614516
Dia_Comp_447,D447,molar,-49.001473201525336
Dia_Comp_1031,D1031,molar,-25.436577362351965
Dia_Comp_1259,D1259,molar,-36.138447133413244
Para_Comp_308,P308,molar,159.63380885836847
Para_Comp_1327,P1327,molar,44.77614137887034
Dia_Comp_704,D704,molar,-61.16339728452998
Para_Comp_451,P451,molar,400.09406989885
Dia_Comp_720,D720,molar,-29.044308593595268
Dia_Comp_1162,D1162,molar,-44.996859077763354
Dia_Comp_495,D495,molar,-37.77494467956026
Para_Comp_1367,P1367,molar,63.44803672772623
Para_Comp_719,P719,molar,54.26619069468423
Dia_Comp_383,D383,molar,-53.32262246395946
Para_Comp_1140,P1140,molar,142.38534544417254
Para_Comp_479,P479,molar,92.48034494522587
Para_Comp_1215,P1215,molar,196.5507248206022
Dia_Comp_691,D691,molar,-26.346561206332233
Para_Comp_1313,P1313,molar,30.60273973212843
Dia_Comp_1099,D1099,molar,-34.76969455175405
Para_Comp_1123,P1123,molar,16.369689380262095
Para_Comp_1040,P1040,molar,83.21486817943688
Dia_Comp_1052,D1052,molar,-54.86637950977691
Para_Comp_1346,P1346,molar,154.4764133709738
Para_Comp_1002,P1002,molar,44.46428148756159
Dia_Comp_871,D871,molar,-52.23984974342954
Para_Comp_491,P491,molar,66.21169816761966
Para_Comp_1557,P1557,molar,60.53373960967894
Para_Comp_441,P441,molar,159.69756759717822
Dia_Comp_298,D298,molar,-37.284314637982995
Para_Comp_622,P622,molar,17.65437223387737
Para_Comp_838,P838,molar,85.8190494652152
Para_Comp_87,P87,molar,83.27243958927832
Para_Comp_1197,P1197,molar,144.73233014900893
Para_Comp_1260,P1260,molar,266.62741942198994
Para_Comp_22,P22,molar,104.44512019000405
Para_Comp_354,P354,molar,589.4728222902244
Para_Comp_1257,P1257,molar,163.78205848356868
Dia_Comp_17,D17,molar,-56.858372676523864
Para_Comp_189,P189,molar,117.13351789100933
Dia_Comp_784,D784,molar,-44.433398705172145
Dia_Comp_74,D74,molar,-16.109055687998087
Para_Comp_1116,P1116,molar,558.6013085622347
Dia_Comp_605,D605,molar,-8.259880824967023
Para_Comp_1068,P1068,molar,127.16922452575928
Para_Comp_315,P315,molar,26.74045297183451
Para_Comp_836,P836,molar,130.55840224453192
Para_Comp_801,P801,molar,23.446579898891883
Dia_Comp_425,D425,molar,-55.80192227178115
Dia_Comp_143,D143,molar,-73.16386572803823
Para_Comp_460,P460,molar,379.61506187958634
Para_Comp_420,P420,molar,409.0639192254246
Dia_Comp_1250,D1250,molar,-26.227449351377487
Para_Comp_345,P345,molar,701.1639919111883
Para_Comp_856,P856,molar,238.32447044150604
Para_Comp_1096,P1096,molar,49.45579957939052
Dia_Comp_482,D482,molar,-27.061709232790584
Dia_Comp_1151,D1151,molar,-67.3329400892103
Dia_Comp_76,D76,molar,-44.82070604627253
Dia_Comp_1100,D1100,molar,-28.790902471211588
Para_Comp_1351,P1351,molar,61.75927325184174
Dia_Comp_888,D888,molar,-51.40247337534668
Dia_Comp_615,D615,molar,-51.442948575529456
Dia_Comp_607,D607,molar,-23.759916167774076
Dia_Comp_1165,D1165,molar,-74.57792211450536
Para_Comp_154,P154,molar,76.0218656462203
Para_Comp_723,P723,molar,13.072822317071786
Para_Comp_526,P526,molar,132.51558969034454
Para_Comp_587,P587,molar,274.29490152273553
Dia_Comp_300,D300,molar,-64.231227859512
Para_Comp_275,P275,molar,16.735103734672748
Dia_Comp_889,D889,molar,-86.8852818439721
Para_Comp_684,P684,molar,48.923758860388034
Para_Comp_961,P961,molar,75.71868450987344
Dia_Comp_418,D418,molar,-28.209679174632644
Para_Comp_557,P557,molar,203.0261707808917
Para_Comp_1092,P1092,molar,128.07485370969664
Dia_Comp_632,D632,molar,-39.35786347050645
Dia_Comp_1217,D1217,molar,-58.753761807911054
Para_Comp_641,P641,molar,24.192373667034005
Para_Comp_29,P29,molar,51.018846220313755
Dia_Comp_180,D180,molar,-29.222397643681052
Dia_Comp_1053,D1053,molar,-37.347589736893255
Para_Comp_119,P119,molar,25.92711495907709
Dia_Comp_759,D759,molar,-17.603712065079236
Para_Comp_142,P142,molar,262.63055996887977
Para_Comp_1350,P1350,molar,176.89117963612898
Para_Comp_1155,P1155,molar,85.45118231132302
Para_Comp_31,P31,molar,268.29775639167724
Dia_Comp_253,D253,molar,-16.937774169178745
Dia_Comp_128,D128,molar,-29.468386322659054
Para_Comp_466,P466,molar,26.065302633639007
Dia_Comp_345,D345,molar,-36.11534362476476
Para_Comp_1437,P1437,molar,91.95989963723619
Para_Comp_1089,P1089,molar,66.37952853879727
Dia_Comp_1178,D1178,molar,-34.18679712253054
Dia_Comp_658,D658,molar,-55.910534841701335
Dia_Comp_769,D769,molar,-34.02805720752036
Dia_Comp_741,D741,molar,-36.88241446216266
Dia_Comp_1090,D1090,molar,-41.66541278300449
Para_Comp_1049,P1049,molar,131.4962472389479
Para_Comp_82,P82,molar,601.6882317011208
Para_Comp_760,P760,molar,256.74088227314826
Para_Comp_875,P875,molar,68.13526828080558
Para_Comp_333,P333,molar,10.561869797177707
Para_Comp_1449,P1449,molar,66.44971314604388
Para_Comp_1366,P1366,molar,124.97594952954621
Dia_Comp_360,D360,molar,-54.759554497788116
Para_Comp_814,P814,molar,575.5820228838454
Dia_Comp_465,D465,molar,-15.423266279122625
Para_Comp_109,P109,molar,67.59893412944402
Para_Comp_338,P338,molar,78.44314322253369
Para_Comp_495,P495,molar,94.37701949761083
Para_Comp_1160,P1160,molar,258.77303514772166
Dia_Comp_171,D171,molar,-33.512837917753565
Dia_Comp_456,D456,molar,-24.02771521740283
Para_Comp_295,P295,molar,306.18711721275776
Para_Comp_912,P912,molar,395.46271501407165
Para_Comp_75,P75,molar,180.8417943770884
Para_Comp_432,P432,molar,19.933161137790133
Para_Comp_522,P522,molar,12.797588230522388
Dia_Comp_1154,D1154,molar,-22.337507467789298
Dia_Comp_1317,D1317,molar,-32.92766031766079
Para_Comp_1331,P1331,molar,16.571258397915635
Dia_Comp_1245,D1245,molar,-48.84778505489767
Dia_Comp_1215,D1215,molar,-18.7099908192097
Para_Comp_55,P55,molar,16.86539790195735
Dia_Comp_1209,D1209,molar,-36.04449860508591
Para_Comp_922,P922,molar,420.61054023306696
Para_Comp_1343,P1343,molar,141.98516129366618
Dia_Comp_960,D960,molar,-43.56044325156532
Dia_Comp_650,D650,molar,-58.92331078444406
Para_Comp_1439,P1439,molar,208.7458522182311
Dia_Comp_551,D551,molar,-48.41391907659148
Dia_Comp_1091,D1091,molar,-30.49087336605357
Para_Comp_1104,P1104,molar,359.04529883165736
Para_Comp_299,P299,molar,30.485872774240807
Para_Comp_1209,P1209,molar,10.421789646446161
Para_Comp_257,P257,molar,87.6795597883016
Para_Comp_1558,P1558,molar,299.2137902645784
Dia_Comp_78,D78,molar,-58.88692501683637
Para_Comp_978,P978,molar,138.7806104642294
Para_Comp_1409,P1409,molar,11.029779649441002
Para_Comp_1254,P1254,molar,125.06651953478033
Dia_Comp_208,D208,molar,-43.39771955053888
Para_Comp_340,P340,molar,18.39316695001464
Para_Comp_503,P503,molar,99.24744544732697
Dia_Comp_935,D935,molar,-32.11826383150228
Para_Comp_1428,P1428,molar,99.81973797628214
Dia_Comp_934,D934,molar,-54.703569602703006
Para_Comp_69,P69,molar,83.78740463897873
Para_Comp_565,P565,molar,255.1801579294875
Para_Comp_964,P964,molar,24.078246543114957
Dia_Comp_695,D695,molar,-29.572950304406458
Levitator_Proxy_18,L18,molar,-232.77124251056907
Dia_Comp_1241,D1241,molar,-57.72326684716134
Para_Comp_366,P366,molar,87.20371392591221
Para_Comp_1114,P1114,molar,54.97336408515133
Para_Comp_389,P389,molar,312.0277506134
Para_Comp_920,P920,molar,159.0394819183436
Dia_Comp_929,D929,molar,-46.93763024225792
Para_Comp_729,P729,molar,442.47019563716395
Dia_Comp_751,D751,molar,-43.18064208516208
Dia_Comp_96,D96,molar,-36.344848316512696
Para_Comp_1362,P1362,molar,134.5546558261532
Dia_Comp_67,D67,molar,-49.147673520174784
Para_Comp_1440,P1440,molar,164.10629405955166
Dia_Comp_133,D133,molar,-17.861437473916244
Dia_Comp_356,D356,molar,-28.024879048915977
Para_Comp_614,P614,molar,161.38921965606576
Para_Comp_1019,P1019,molar,188.8372048448606
Dia_Comp_270,D270,molar,-43.26282937670812
Dia_Comp_1026,D1026,molar,-23.479205535743766
Dia_Comp_63,D63,molar,-85.91206014591397
Para_Comp_50,P50,molar,102.46752750644272
Dia_Comp_196,D196,molar,-21.8421748154327
Para_Comp_515,P515,molar,336.02366992945036
Para_Comp_319,P319,molar,74.72763168377035
Dia_Comp_27,D27,molar,-23.87945238174687
Para_Comp_1586,P1586,molar,45.354356916488314
Dia_Comp_380,D380,molar,-30.070124107767676
Dia_Comp_853,D853,molar,-41.157287675140296
Dia_Comp_557,D557,molar,-6.978547350600394
Dia_Comp_85,D85,molar,-51.78456263233039
Dia_Comp_151,D151,molar,-47.03239553634455
Para_Comp_1067,P1067,molar,26.30907978178424
Dia_Comp_480,D480,molar,-35.88889568120916
Dia_Comp_129,D129,molar,-40.22313561674206
Dia_Comp_772,D772,molar,-45.90765161230434
Para_Comp_320,P320,molar,204.7230294828187
Dia_Comp_1041,D1041,molar,-59.428349634802224
Para_Comp_718,P718,molar,82.46865155041661
Dia_Comp_712,D712,molar,-53.61480825337603
Dia_Comp_148,D148,molar,-13.29284964958828
Dia_Comp_189,D189,molar,-61.68667167433567
Dia_Comp_390,D390,molar,-42.714679143306896
Para_Comp_972,P972,molar,58.393624299470886
Para_Comp_1322,P1322,molar,153.3594609986521
Dia_Comp_146,D146,molar,-54.10345486934937
Dia_Comp_1174,D1174,molar,-50.30435104482205
Para_Comp_1393,P1393,molar,235.57708993142109
Para_Comp_1284,P1284,molar,216.92248566146097
Dia_Comp_554,D554,molar,-58.842183871710006
Dia_Comp_1071,D1071,molar,-34.456183263688224
Dia_Comp_400,D400,molar,-36.17256537201895
Dia_Comp_498,D498,molar,-44.96253856878125
Para_Comp_1559,P1559,molar,244.20341585128196
Dia_Comp_152,D152,molar,-51.5050583368064
Para_Comp_517,P517,molar,225.68236143931873
Dia_Comp_1228,D1228,molar,-32.901797832203215
Dia_Comp_236,D236,molar,-46.695638735687396
Dia_Comp_20,D20,molar,-26.959718936384974
Para_Comp_1356,P1356,molar,148.42146647356043
Para_Comp_1338,P1338,molar,155.4348885967595
Dia_Comp_15,D15,molar,-57.39668117077622
Para_Comp_766,P766,molar,70.68705138255677
Para_Comp_546,P546,molar,269.45012131490165
Dia_Comp_884,D884,molar,-65.01979847623241
Dia_Comp_491,D491,molar,-44.29158156815744
Para_Comp_997,P997,molar,220.9618289793536
Dia_Comp_1381,D1381,molar,-40.709567695056656
Para_Comp_229,P229,molar,90.21001194669847
Para_Comp_287,P287,molar,12.210836701044316
Dia_Comp_1160,D1160,molar,-49.88745509362106
Para_Comp_1270,P1270,molar,133.86606574744127
Dia_Comp_404,D404,molar,-37.76331884741083
Para_Comp_279,P279,molar,154.70861027220323
Para_Comp_833,P833,molar,16.97284794433526
Para_Comp_248,P248,molar,145.63583421366022
Para_Comp_1528,P1528,molar,143.63422537029436
Para_Comp_852,P852,molar,29.26346438671342
Para_Comp_1320,P1320,molar,64.15216778572392
Dia_Comp_880,D880,molar,-35.44123447363999
Para_Comp_520,P520,molar,46.282266092023875
Para_Comp_426,P426,molar,15.303411491910062
Para_Comp_1236,P1236,molar,20.817502897370552
Dia_Comp_648,D648,molar,-60.21466325008432
Dia_Comp_319,D319,molar,-45.75916884304023
Dia_Comp_306,D306,molar,-20.748402988604255
Dia_Comp_996,D996,molar,-57.71806485608424
Para_Comp_1201,P1201,molar,50.19560415493131
Dia_Comp_612,D612,molar,-44.24225209281389
Dia_Comp_1020,D1020,molar,-46.14754284098458
Dia_Comp_876,D876,molar,-35.067549652577846
Dia_Comp_461,D461,molar,-61.4883230956832
Dia_Comp_881,D881,molar,-65.99563382943542
Dia_Comp_718,D718,molar,-78.34534154094347
Dia_Comp_549,D549,molar,-31.92572894236126
Para_Comp_1044,P1044,molar,336.0971346541786
Dia_Comp_140,D140,molar,-32.75950694540446
Para_Comp_1318,P1318,molar,21.219493010411437
Para_Comp_327,P327,molar,270.8624092340697
Dia_Comp_131,D131,molar,-22.57136650239985
Dia_Comp_1190,D1190,molar,-44.73138750017483
Dia_Comp_520,D520,molar,-25.008541563270335
Dia_Comp_1374,D1374,molar,-17.583147278883985
Para_Comp_454,P454,molar,182.89933596780273
Dia_Comp_625,D625,molar,-20.970774953333148
Para_Comp_696,P696,molar,144.08087067750589
Dia_Comp_610,D610,molar,-35.18669064099993
Para_Comp_1341,P1341,molar,326.935396433262
Para_Comp_1001,P1001,molar,166.47316103754486
Dia_Comp_1243,D1243,molar,-44.28731496036351
Dia_Comp_187,D187,molar,-32.29872570783161
Dia_Comp_1126,D1126,molar,-61.279326159231246
Dia_Comp_987,D987,molar,-28.76011283203721
Dia_Comp_278,D278,molar,-43.685525823173165
Para_Comp_837,P837,molar,117.17210447791422
Dia_Comp_457,D457,molar,-36.449225847788135
Dia_Comp_1315,D1315,molar,-55.39207451922141
Dia_Comp_900,D900,molar,-22.309902155910898
Dia_Comp_297,D297,molar,-38.10560903086293
Para_Comp_429,P429,molar,39.697293335915774
Dia_Comp_847,D847,molar,-60.78658059034585
Para_Comp_774,P774,molar,270.5696981031274
Para_Comp_213,P213,molar,43.323581780745556
Dia_Comp_1187,D1187,molar,-39.361590790037305
Dia_Comp_473,D473,molar,-24.259781448778835
Dia_Comp_885,D885,molar,-9.114480091110991
Dia_Comp_1375,D1375,molar,-34.391247153455254
Dia_Comp_1227,D1227,molar,-42.02510393238413
Dia_Comp_299,D299,molar,-57.76277118932394
Para_Comp_643,P643,molar,207.49750980917597
Para_Comp_1570,P1570,molar,369.06077270993575
Para_Comp_1575,P1575,molar,26.79103681616954
Dia_Comp_1263,D1263,molar,-32.53520707060255
Dia_Comp_1079,D1079,molar,-11.490805849113443
Para_Comp_1397,P1397,molar,376.77816722574045
Dia_Comp_174,D174,molar,-25.128295384800566
Para_Comp_1488,P1488,molar,192.30766305143786
Para_Comp_182,P182,molar,106.07470610892629
Para_Comp_594,P594,molar,80.63531372823248
Para_Comp_30,P30,molar,247.70233533386906
Dia_Comp_402,D402,molar,-12.349295393126162
Dia_Comp_324,D324,molar,-73.08079538290517
Para_Comp_1536,P1536,molar,67.00319457409861
Para_Comp_132,P132,molar,88.39446129053131
Para_Comp_1576,P1576,molar,294.61355890781425
Para_Comp_1581,P1581,molar,112.8726090495957
Dia_Comp_1206,D1206,molar,-32.02052642019501
Dia_Comp_841,D841,molar,-16.64227484703185
Para_Comp_1056,P1056,molar,87.21275224962814
Levitator_Proxy_9,L9,molar,-206.29391033846346
Para_Comp_832,P832,molar,15.78818877595489
Dia_Comp_497,D497,molar,-41.74541973433263
Dia_Comp_1201,D1201,molar,-47.2737270038289
Dia_Comp_1095,D1095,molar,-34.33206855688122
Dia_Comp_856,D856,molar,-63.041717705625416
Para_Comp_1185,P1185,molar,41.41653336897818
Dia_Comp_40,D40,molar,-35.87549397542812
Para_Comp_401,P401,molar,80.49308893878272
Para_Comp_782,P782,molar,26.349197255729205
Dia_Comp_598,D598,molar,-11.64939365159043
Para_Comp_1066,P1066,molar,192.11089991540925
Para_Comp_342,P342,molar,236.64282243091415
Dia_Comp_471,D471,molar,-28.39141190322794
Para_Comp_14,P14,molar,504.97997870396574
Dia_Comp_414,D414,molar,-31.409580789569453
Para_Comp_1453,P1453,molar,33.25946824620642
Dia_Comp_417,D417,molar,-31.194240491934636
Para_Comp_685,P685,molar,88.10234650919556
Dia_Comp_683,D683,molar,-42.74888864991059
Dia_Comp_855,D855,molar,-64.31738831597625
Dia_Comp_811,D811,molar,-41.05014625184129
Dia_Comp_1396,D1396,molar,-34.796766220901915
Dia_Comp_506,D506,molar,-19.391052294094834
Dia_Comp_1170,D1170,molar,-38.78438865056988
Para_Comp_1423,P1423,molar,342.515903122566
Dia_Comp_1366,D1366,molar,-26.357139427594838
Para_Comp_1391,P1391,molar,135.51146442070524
Dia_Comp_130,D130,molar,-42.39664958735329
Para_Comp_1057,P1057,molar,118.49688686830277
Para_Comp_473,P473,molar,450.7795769301697
Para_Comp_492,P492,molar,69.02532106956025
Para_Comp_171,P171,molar,83.3932327059524
Para_Comp_406,P406,molar,96.50302525740288
Para_Comp_1282,P1282,molar,121.2683115043995
Dia_Comp_361,D361,molar,-35.18205958694902
Dia_Comp_1149,D1149,molar,-72.89986957018536
Dia_Comp_1232,D1232,molar,-32.72024771721769
Dia_Comp_26,D26,molar,-57.80574336480435
Para_Comp_323,P323,molar,17.860060782271713
Para_Comp_1139,P1139,molar,105.53690674025269
Para_Comp_280,P280,molar,255.6316868923316
Para_Comp_1015,P1015,molar,194.88727631150084
Para_Comp_1595,P1595,molar,116.40584213378834
Para_Comp_1588,P1588,molar,163.16663747715322
Dia_Comp_533,D533,molar,-50.07917792783167
Dia_Comp_955,D955,molar,-37.7239066320055
Para_Comp_1433,P1433,molar,141.87488585566098
Para_Comp_331,P331,molar,186.4519238268013
Dia_Comp_479,D479,molar,-19.016802651802934
Para_Comp_1329,P1329,molar,126.04379289009606
Para_Comp_1417,P1417,molar,260.3710733851743
Dia_Comp_218,D218,molar,-29.124793338886164
Dia_Comp_716,D716,molar,-58.59768559136854
Para_Comp_504,P504,molar,368.85979871770354
Para_Comp_1271,P1271,molar,58.169102491291
Para_Comp_1267,P1267,molar,180.02667622640226
Dia_Comp_190,D190,molar,-49.839959011538454
Para_Comp_1233,P1233,molar,61.277556485399444
Dia_Comp_744,D744,molar,-42.15298623713875
Para_Comp_631,P631,molar,334.83310685889325
Dia_Comp_307,D307,molar,-52.259409988294635
Para_Comp_703,P703,molar,94.36193428081049
Dia_Comp_1371,D1371,molar,-13.794571738333993
Dia_Comp_1268,D1268,molar,-62.27981521441011
Dia_Comp_271,D271,molar,-67.10161786392702
Para_Comp_1523,P1523,molar,81.3829991084281
Para_Comp_461,P461,molar,59.936013486099014
Para_Comp_300,P300,molar,112.57639500415536
Dia_Comp_1146,D1146,molar,-40.80758295224794
Dia_Comp_621,D621,molar,-37.29983832972443
Dia_Comp_922,D922,molar,-17.874374141795766
Para_Comp_1151,P1151,molar,136.11459470555985
Para_Comp_78,P78,molar,367.8128336402227
Para_Comp_63,P63,molar,209.3602061727482
Dia_Comp_1195,D1195,molar,-38.67482199714792
Dia_Comp_210,D210,molar,-10.940185864279105
Dia_Comp_808,D808,molar,-78.77468023689221
Para_Comp_410,P410,molar,230.60331924757153
Dia_Comp_44,D44,molar,-68.50841006066508
Para_Comp_112,P112,molar,113.52359562706023
Para_Comp_19,P19,molar,106.04022927339102
Dia_Comp_1363,D1363,molar,-40.11319927172617
Dia_Comp_1063,D1063,molar,-39.503844954724556
Para_Comp_399,P399,molar,25.180032774995198
Dia_Comp_248,D248,molar,-49.6077438628532
Levitator_Proxy_47,L47,molar,-284.1133356644757
Para_Comp_1193,P1193,molar,438.7901017403324
Para_Comp_81,P81,molar,55.778714433659545
Dia_Comp_149,D149,molar,-30.877345955506122
Para_Comp_818,P818,molar,181.87947936446122
Dia_Comp_966,D966,molar,-57.22756649024417
Para_Comp_135,P135,molar,160.38437807972323
Para_Comp_1312,P1312,molar,149.20486571823662
Para_Comp_995,P995,molar,45.72578616988129
Para_Comp_330,P330,molar,329.5815116841836
Para_Comp_1046,P1046,molar,253.04248092231728
Dia_Comp_1216,D1216,molar,-31.454619118981853
Dia_Comp_559,D559,molar,-50.8893321910879
Dia_Comp_1256,D1256,molar,-26.61357897118832
Dia_Comp_162,D162,molar,-19.944412951261207
Dia_Comp_423,D423,molar,-42.97810752667865
Para_Comp_147,P147,molar,12.422539481547599
Para_Comp_1573,P1573,molar,379.84886331656037
Dia_Comp_1244,D1244,molar,-37.74228526704727
Para_Comp_1075,P1075,molar,120.79968838512039
Para_Comp_139,P139,molar,47.00064679536362
Para_Comp_1562,P1562,molar,138.78791736378457
Para_Comp_1347,P1347,molar,85.65493541078642
Levitator_Proxy_4,L4,molar,-336.4314885014244
Para_Comp_1174,P1174,molar,137.89973896086138
Para_Comp_67,P67,molar,226.8378448782848
Para_Comp_790,P790,molar,682.3577684437839
Dia_Comp_546,D546,molar,-30.894162836467356
Dia_Comp_1335,D1335,molar,-14.262579035210912
Dia_Comp_1110,D1110,molar,-29.13167520927731
Para_Comp_805,P805,molar,262.7684474598004
Para_Comp_488,P488,molar,90.91168293647091
Dia_Comp_449,D449,molar,-32.579475095523975
Dia_Comp_865,D865,molar,-45.082346066884575
Para_Comp_1293,P1293,molar,330.5098820149128
Dia_Comp_455,D455,molar,-26.165145278801425
Dia_Comp_110,D110,molar,-44.94918940987574
Dia_Comp_474,D474,molar,-64.89602635694095
Para_Comp_1244,P1244,molar,16.873804573669943
Dia_Comp_1358,D1358,molar,-48.691101511973145
Para_Comp_392,P392,molar,125.50624789028784
Para_Comp_225,P225,molar,404.0318219649931
Dia_Comp_1267,D1267,molar,-53.25777151591179
Para_Comp_1063,P1063,molar,383.1821842275512
Para_Comp_204,P204,molar,246.77448913868142
Dia_Comp_916,D916,molar,-43.26544665588728
Para_Comp_463,P463,molar,68.83464384107809
Dia_Comp_1147,D1147,molar,-30.763357891896234
Dia_Comp_1176,D1176,molar,-32.90992180224474
Para_Comp_1434,P1434,molar,19.859318848391027
Para_Comp_1516,P1516,molar,102.40720868975127
Dia_Comp_667,D667,molar,-21.95462279793087
